NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
40555;Romero Jatobá Cavalcanti Neto;Romerinho Jatobá;PSB;ELEITO;20264
22222;Gilson Machado Guimarães;Gilson Machado Filho;PL;ELEITO;16095
40888;Aderaldo De Oliveira Florêncio;Aderaldo Pinto;PSB;ELEITO;15793
40000;Andreza Bandeira Ferreira De Oliveira Melo Albuquerque;Andreza Romero;PSB;ELEITO;15785
40123;Natália Rayane Couto Barbosa Santana;Natália De Menudo;PSB;ELEITO;15198
40444;Rafael Acioli Medeiros;Eriberto Rafael;PSB;ELEITO;14867
13100;Liana Cristina Da Costa Cirne Lins;Liana Cirne;PT;ELEITO;14810
40654;Luiz Felipe Camara De Oliveira Pontes;Felipe Francismar;PSB;ELEITO;13850
40623;Carlos Eduardo Muniz Pacheco;Carlos Muniz;PSB;ELEITO;13400
15615;Samuel Rodrigues Dos Santos Salazar;Samuel Salazar;MDB;ELEITO;13348
40540;Rinaldo Alves De Lima Junior;Rinaldo Junior;PSB;ELEITO;12664
43999;Marco Aurélio De Medeiros Lima Ii;Marco Aurélio Filho ;PV;ELEITO;12424
40002;Rubem Rodrigues Da Silva;Agora é Rubem;PSB;ELEITO;12240
55122;Davi Bernardo Muniz;Davi Muniz;PSD;ELEITO;11946
22622;Frederico Menezes De Moura Sobrinho Ferreira;Fred Ferreira;PL;ELEITO;11804
40678;Eduardo Knauer Da Mota;Eduardo Mota;PSB;ELEITO;11786
65113;Maria Aparecida Pedrosa Bezerra;Cida Pedrosa;PC do B;ELEITO;11364
43643;Flávia Renata Queiroz Do Nascimento;Flávia De Nadegi;PV;ELEITO;11278
40900;Jos? Louren?o De Sobral Neto;Z? Neto;PSB;ELEITO;11027
22822;Thiago Medina Duarte;Thiago Medina;PL;ELEITO;10540
40500;Luiz Eustáquio Ramos Neto;Luiz Eustáquio;PSB;ELEITO;10474
40040;Cleto Correia Lima J?nior;J?nior De Cleto;PSB;ELEITO;9922
40028;Helio Batista De Oliveira;H?lio Guabiraba;PSB;ELEITO;9793
15111;Fabiano Ferraz;Fabiano Ferraz;MDB;ELEITO;9778
40456;Jos? Wilton De Brito Cavalcanti;Wilton Brito;PSB;ELEITO;9496
40999;Francisco Ferreira Da Silva Filho;Chico Kiko;PSB;SUPLENTE;9432
22321;Paulo Sergio Moreira Muniz Filho;Paulo Muniz;PL;ELEITO;9395
13613;Karina Da Silva Santos;Kari Santos;PT;ELEITO;9321
13650;Osmar Ricardo Cabral Barreto;Osmar Ricardo;PT;SUPLENTE;9268
13001;Jairo Xavier De Britto;Professor Jairo Britto;PT;SUPLENTE;9042
70000;Alcides Teixeira Neto;Alcides Teixeira Neto;AVANTE;ELEITO;8909
40147;Almir Fernando Alves;Almir Fernando;PSB;SUPLENTE;8722
10123;Ana L?cia Do Rego Ferreira;Professora Ana L?cia;REPUBLICANOS;ELEITO;8592
40699;Eduardo Amorim Marques Da Cunha;Eduardo Marques;PSB;SUPLENTE;8346
10000;Rodrigo Bezerra Coutinho De Melo;Rodrigo Coutinho;REPUBLICANOS;ELEITO;8317
40112;Joselito Ferreira Da Silva;Joselito Ferreira;PSB;SUPLENTE;8260
40140;Aline Brito Martins Da Fonseca;Aline Mariano;PSB;SUPLENTE;8031
55045;Inaldo Gerson Pereira Freires;Junior Boc?o;PSD;ELEITO;7985
30630;Felipe Espindola Alecrim;Felipe Alecrim;NOVO;ELEITO;7901
22111;Nilson Pereira Da Silva;Nilson Pereira;PL;SUPLENTE;7702
50000;Maria Joselita Pereira Cavalcanti;J? Cavalcanti;PSOL;ELEITO;7619
11611;Alef Cleiton Collins Aguiar Gon?alves;Alef Collins;PP;ELEITO;7131
11011;Ronaldo Lopes Da Silva;Ronaldo Lopes;PP;SUPLENTE;7000
15015;Tadeu Henrique Pimentel Calheiros;Tadeu Calheiros;MDB;ELEITO;6916
55999;Josu? Varela De Oliveira;Doduel Varela;PSD;SUPLENTE;6577
11000;Emanoel Estanislau Gouveia;Pb. Emanoel Estanislau;PP;SUPLENTE;6407
27424;Benjamim Goncalves Da Silva Junior;Benjamim Da Sa?de;DC;N?O ELEITO;6382
55555;Andr?a Dubeux De Paula Travassos;D?a De Paula;PSD;SUPLENTE;6016
15620;Ivo Irineu Bispo;Ivo Do Armazem;MDB;SUPLENTE;5638
18888;Weberson Fl?vio Sobral Flor?ncio;Ebinho Florencio;REDE;SUPLENTE;5391
55666;Antonio Luiz Da Silva Neto;Antonio Luiz Neto;PSD;SUPLENTE;5314
15777;Waldomiro Amorim Rolim Mota;Professor Mirinho;MDB;SUPLENTE;5312
30333;Eduardo Ramos De Moura;Eduardo Moura;NOVO;ELEITO;5283
65100;Jose Francis Herbert Da Concei??o;Francis Herbert;PC do B;SUPLENTE;5275
43333;Victor Andr? Gomes Cavalcanti Batista;Victor Andr? Gomes;PV;SUPLENTE;5269
22022;Alcides Jose De Albuquerque Cardoso;Alcides Cardoso;PL;SUPLENTE;5189
40333;Irinaldo Joao Da Silva;Tadinho Jo?o;PSB;SUPLENTE;5082
22333;Rog?rio Magalhaes Mello;Tenente Rogerio Magalhaes;PL;SUPLENTE;5009
25025;Gilberto Dario De Melo Alves;Gilberto Alves;PRD;ELEITO;4985
22122;Rodrigo De Miranda Ferreira Gomes;Rodrigo Gomes;PL;SUPLENTE;4930
13123;Tomas Agra Celino De Melo;Tomas Do Mst;PT;SUPLENTE;4920
50100;Carolina Barbosa Oliveira Vergolino;Carol Vergolino;PSOL;SUPLENTE;4907
40245;Geovane Jovino Da Silva;Vanio Silva;PSB;SUPLENTE;4788
40670;Marcos Antonio Gomes Da Silva J?nior;J?nior Di Bria;PSB;SUPLENTE;4572
15555;Elson Carlos Ferreira Do Nascimento;Elson ?tica;MDB;SUPLENTE;4560
11111;Gilv?nia L?cia Mendes De Moura Gomes;Gil T?rcio;PP;SUPLENTE;4507
40400;Maria Do Ceu De Ataide Vasconcelos;Maria Do C?u;PSB;SUPLENTE;4367
15123;F?bio Gomes De Souza Junior;F?bio Gomes;MDB;SUPLENTE;4091
13456;Andr? Wilson De Queiroz Campos;Andr? Campos;PT;SUPLENTE;4017
55010;Andr? Regis De Carvalho;Andre Regis;PSD;SUPLENTE;3983
22123;Flavia Araujo Dos Santos Lucena;Pastora Fl?via Santos;PL;SUPLENTE;3847
15000;Gutembergue Alves De Santana Junior;Bergue Junior;MDB;SUPLENTE;3841
15115;Murilo Rodrigues Cavalcanti;Murilo;MDB;SUPLENTE;3757
70777;Douglas Pereira De Brito;Douglas Brito Ativista;AVANTE;SUPLENTE;3741
30000;George Emilio De Moraes Bastos Goncalves;George Bastos;NOVO;SUPLENTE;3714
40543;Paulo Giroldo Cavalcanti Da Silva;Giroldo;PSB;SUPLENTE;3506
70555;Dilson Batista De Albuquerque;Dilson Batista;AVANTE;SUPLENTE;3494
70615;Jo?o De Deus Dos Santos;Jo?o De Deus;AVANTE;SUPLENTE;3494
70622;Samuel Souza Da Silva;Cabo Samuel;AVANTE;SUPLENTE;3494
40800;Priscila Araujo Ferraz;Priscila Ferraz;PSB;SUPLENTE;3466
10910;Maria Goretti Cordeiro De Queiroz;Goretti Queiroz;REPUBLICANOS;SUPLENTE;3459
11456;Ant?nio Batista De Moura Filho;Toinho Da Uni?o;PP;SUPLENTE;3439
11555;Wendel Felix Dos Santos;Wendel Felix;PP;SUPLENTE;3439
11667;Amaro Cipriano De Lima;Maguari;PP;SUPLENTE;3416
13144;Jo?o Da Costa Bezerra Filho;Jo?o Da Costa;PT;SUPLENTE;3373
10321;Daniel Tadeu Uch?a Mateus;Daniel Uch?a;REPUBLICANOS;SUPLENTE;3180
13000;Suzineide Rodrigues De Medeiros;Suzi Rodrigues;PT;SUPLENTE;3079
30300;Eduardo Inojosa Goncalves De Barros;Eduardo Inojosa;NOVO;SUPLENTE;2791
30622;Mario Brasiliano Do Nascimento;Mario Brasiliano;NOVO;SUPLENTE;2622
10500;Thiago Nobrega De Lima;Thiaguinho Filho Do Jord?o;REPUBLICANOS;SUPLENTE;2610
15222;Waldyr Pequeno De Arruda Junior;Badizinho;MDB;SUPLENTE;2599
55700;Luiz Walber Dos Santos;Walber Santos;PSD;SUPLENTE;2501
55755;Hildeberto Alves Da Silva Junior;Hildeberto Junior;PSD;SUPLENTE;2501
10610;Joaquim Guilherme Xisto Ribeiro De Sena;Guilherme Xisto;REPUBLICANOS;SUPLENTE;2461
50999;Kimberly Yasmim Alves De Mendonca;Yasmim Alves;PSOL;SUPLENTE;2365
27123;Edmar De Oliveira E Silva;Edmar De Oliveira;DC;N?O ELEITO;2350
55400;Ant?nio St?nio Barbosa Gomes;Dr  St?nio;PSD;SUPLENTE;2324
55423;Victor Gilliard De Carvalho Lopes;Victor Torres;PSD;SUPLENTE;2324
40111;Wellington Dos Santos Vilar;Wellington E Carlos Marcenaria;PSB;SUPLENTE;2214
22190;Aenia Danieli Feitosa Barbosa;Cabo Aenia;PL;SUPLENTE;2205
40640;Jos? Lu?s Sim?es;Professor Z? Lu?s;PSB;SUPLENTE;2148
15333;Wilson Pereira Machado Lapa;Wilson Lapa;MDB;SUPLENTE;2105
30123;Luiz Carlos Vera Cruz;Luiz Carlos;NOVO;SUPLENTE;2062
33000;Rafael Nunes Da Silva;Rafael Nunes;MOBILIZA;N?O ELEITO;2055
30222;Gabriel Freitas Silva Barreto Campello;Gabriel Barreto Campello;NOVO;SUPLENTE;1951
22999;Paulo S?rgio Alves Abou Hana;Paulo Abou Hana;PL;SUPLENTE;1913
55333;S?vio Rodrigues Silva;S?vio Rodrigues;PSD;SUPLENTE;1906
10999;Israel Barbosa Vaz;Israel Vaz O Amigo Que Faz;REPUBLICANOS;SUPLENTE;1892
40180;Stephannye Vilela Dos Santos Souza;Ste Vilela;PSB;SUPLENTE;1884
50222;Carmem Dolores Alves;Carmem Dolores;PSOL;SUPLENTE;1865
10444;Romero Ferreira Cordeiro;Romero Cordeiro Filho Do Morro;REPUBLICANOS;SUPLENTE;1843
15122;Christiano Demetrius Pacifico;Coronel Pac?fico;MDB;SUPLENTE;1781
25000;Rogerio Facanha De Souza;Belo Belo;PRD;SUPLENTE;1780
10010;Ozeias Paulo Da Silva;Ozeias Paulo;REPUBLICANOS;SUPLENTE;1751
15007;Wilderley Santos Chagas;Derley Chagas;MDB;SUPLENTE;1751
18999;Thyago De Amorim Batista;Thyago Do Inocoop;REDE;SUPLENTE;1727
25123;Erivelte Pereira Da Silva;Professor Erivelte;PRD;SUPLENTE;1705
40190;Josemi Sim?es Da Silva;Josemi Sim?es;PSB;SUPLENTE;1674
70456;Ricardo Jorge Da Cruz;Ricardo Cruz Castram?vel;AVANTE;SUPLENTE;1674
13013;Erika Suruagy Assis De Figueiredo;Erika Suruagy;PT;SUPLENTE;1659
22019;Paulo Fernando Andrade Matos;Coronel Paulo Matos;PL;SUPLENTE;1601
30555;Deborah Julianna Leite Alves;Deborah Leite;NOVO;SUPLENTE;1599
40001;Juan Elvis Victor Dos Anjos Oliveira;Vem Com Elvis;PSB;SUPLENTE;1578
70888;Adriano Da Silva Almeida;Adriano Planeta De Deus;AVANTE;SUPLENTE;1564
70999;Iracenira Da Silva Paix?o Falc?o Farias;Cenira Da Sa?de;AVANTE;SUPLENTE;1564
10111;Eduardo Amancio Da Silva;Eduardo Amancio;REPUBLICANOS;SUPLENTE;1525
22000;Joao Eurico Da Silva Neto;Netinho Eurico;PL;SUPLENTE;1515
30616;Luciano Marques Da Silva;Becinha;NOVO;SUPLENTE;1507
77777;Juliana Gabriela Xavier De Oliveira;Juliana Enfermeira;SOLIDARIEDADE;N?O ELEITO;1494
25777;David Gerson Farias Dantas;Deivinho Dantas;PRD;SUPLENTE;1414
10333;Thalles Pitter Gomes Da Silva;Thalles Cherles;REPUBLICANOS;SUPLENTE;1402
10400;Adeilson Martins Dos Santos;Lelinho Martins;REPUBLICANOS;SUPLENTE;1402
15001;Marcelo Do Nascimento Silva;Marcelo Marcelinho;MDB;SUPLENTE;1383
25555;Aristoteles Ferreira Dutra;Dr Ari Dutra;PRD;SUPLENTE;1322
25111;Marcos Ant?nio Da Silva;Marcos Justino;PRD;SUPLENTE;1272
10055;Nelson Fernandes Cristovam;Nelsinho;REPUBLICANOS;SUPLENTE;1230
25625;Altair Da Silva Ferreira;Altair Ferreira;PRD;SUPLENTE;1223
22716;Joceliton Auranildo C Alves De Siqueira;Lito Do Ibura;PL;SUPLENTE;1211
30190;Tereza Maria Barbosa Nogueira;Delegada Tereza Nogueira;NOVO;SUPLENTE;1171
11177;Edilson Gomes De Melo;Unidos Com Edilson Do Metro;PP;SUPLENTE;1160
11188;Euma Decia Leonidas Gomes Tavares De Sousa;Euma Le?nidas;PP;SUPLENTE;1160
40100;Ada Helena Melo Rodrigues Da Silva;Professora Ada Helena;PSB;SUPLENTE;1147
40192;Vera L?cia Lopes Vieira;Dra Vera Lopes;PSB;SUPLENTE;1146
50777;Ailce Moreira De Melo;Ailce Moreira;PSOL;SUPLENTE;1144
30650;Andre Cesar Fragoso De Siqueira;Andre Serralheiro Filho;NOVO;SUPLENTE;1139
40240;Germana Soares Sampaio De Lacerda;Germana Lacerda;PSB;SUPLENTE;1139
30930;Felipe Jose De Amorim;Felipe Coco;NOVO;SUPLENTE;1122
25001;Jose Henrique Da Silva Melo;Psicologo Henrique Melo;PRD;SUPLENTE;1088
22100;Sidney Edipo Da Silva;Sidney Edipo;PL;SUPLENTE;1087
10310;Walter Marinho Dos Reis;Walter Reis;REPUBLICANOS;SUPLENTE;1077
40777;Claudionora Da Silva Ferreira;Kal Ferreira;PSB;SUPLENTE;1064
30321;Joao Paulo Barreto Da Cunha Lustosa;Joao Paulo Lustosa;NOVO;SUPLENTE;1057
25500;Cicero Jos? De Almeida Castro;Cicero Almeida;PRD;SUPLENTE;1055
15422;Jacimara Maria Reppegather;Bispa Jacimara;MDB;SUPLENTE;1046
27000;Robson Alexandre Viana De Souza;Dr. Robson Viana;DC;N?O ELEITO;1000
30500;Cleiton Miguel Da Silva;Cleiton Miguel Fonoaudiologo;NOVO;SUPLENTE;979
11777;Rogerio Lima De Lucca;Dr. Rogerio Lucca;PP;SUPLENTE;974
11789;Levi Judson De Arruda Meneses;Levi De Ecl?sio;PP;SUPLENTE;974
50412;Ivonise Nascimento Santos;Nise Santos;PSOL;SUPLENTE;965
55123;Thiago Da Silva;Professor Thiago;PSD;SUPLENTE;962
50420;Elaine Cristina Da Silva;Elaine Cristina;PSOL;SUPLENTE;957
18000;Luciana Carneiro Nunes;Lu Do Pru;REDE;SUPLENTE;955
70321;Josue Ricardo Da Silva;Paraiba Cell;AVANTE;SUPLENTE;910
25003;Dario Pessoa De Barros;Dario Pessoa;PRD;SUPLENTE;898
18123;Ricardo Gad?lha Cabral Sales De Melo Priori;Ricardo Gadelha;REDE;SUPLENTE;897
25015;Tarcis Guimar?es Da Silva;Tarcis;PRD;SUPLENTE;883
30030;Gessica Roberta De Almeida Araujo;Gessica Almeida;NOVO;SUPLENTE;879
55155;Jacques Alberto Ribemboim;Jacques Ribemboim;PSD;SUPLENTE;868
25110;Raphael Da Silva Lima;Rafa Lima;PRD;SUPLENTE;854
70070;Magno Gomes Dos Santos;Irm?o Magno;AVANTE;SUPLENTE;852
22144;Igor Alves De Lima;Igor A Voz Do Povo;PL;SUPLENTE;844
33333;Nelson Monteiro Costa Netto;Nelson Monteiro ;MOBILIZA;N?O ELEITO;818
22456;Ant?nio Marco Mendes Dos Santos;Marco Ser?;PL;SUPLENTE;815
18018;Lilian Pollyana Dias Ferreira;Polly Da Amar;REDE;N?O ELEITO;814
55955;Ubirajara Emanuel Tavares De Melo Filho;Bira Da Universo;PSD;SUPLENTE;786
25193;Murilo Vieira Da Silva;Murilo Vieira;PRD;SUPLENTE;758
10222;Anderson Sarinho Ribeiro;C? Do Povo;REPUBLICANOS;SUPLENTE;737
11133;Rodrigo Patriota Pires;Rodrigo Patriota;PP;SUPLENTE;734
15915;Marcelo Sobral Silva;Marcelo Sobral A For?a Do Povo;MDB;SUPLENTE;718
22234;Caliope Jose Monteiro Da Silveira;Caliope Monteiro;PL;SUPLENTE;715
70123;Wellington Domingos Da Silva;Wellington Boite;AVANTE;SUPLENTE;705
15156;Jaiza Catarina Francisca Met?dio;Jaiza Met?dio;MDB;SUPLENTE;699
30999;Jose Hilton Ribeiro De Barros;Hilton Ribeiro;NOVO;SUPLENTE;699
30456;Adelmo Madson Gomes Da Silva Filho;Professor Adelmo Madson;NOVO;SUPLENTE;672
55444;Carlos Andre Pereira De Arruda;Pastor Carlos Andr?;PSD;SUPLENTE;663
22139;Josu? Augusto Da Silva;Josu? Augusto;PL;SUPLENTE;648
27640;Jefferson Gabriel Santos Do Nascimento;Jefferson Ordin?rio;DC;N?O ELEITO;640
50113;Joelma Andrade De Lima;Joelma Andrade;PSOL;SUPLENTE;625
10456;Jos? Francisco Tavares Neto;Neto Da Sa?de;REPUBLICANOS;SUPLENTE;605
22062;Jorge De Ara?jo Vieira J?nior;Jorge Parafina;PL;SUPLENTE;593
10110;Geferson Jos? Da Silva;Pastor Geferson Silva;REPUBLICANOS;SUPLENTE;582
40411;Maria Das Gra?as De Almeida Silva;Gracinha Almeida;PSB;SUPLENTE;574
11121;Romero Barbosa Da Silva Junior;Romero Futev?lei;PP;SUPLENTE;570
11123;Bruno Da Silva Oliveira;Bruno Oliveira;PP;SUPLENTE;570
30007;Carlos Eduardo Vila Nova De Souza;Eduardo Vila Nova;NOVO;SUPLENTE;561
11444;Suhellen Oliveira Da Silva;Suhellen Oliveira;PP;SUPLENTE;552
15520;Jose Edson Pereira Da Silva;Ninho Arypeter;MDB;SUPLENTE;547
15999;Ricardo Jos? Barbosa Calado;Ricardo Radiador;MDB;SUPLENTE;542
30111;Ana Carolina Messias De Souza Ferreira Da Costa;Dra Carol Messias;NOVO;SUPLENTE;533
65500;Altamiza Melo Silva;Altamiza Da Favela;PC do B;SUPLENTE;530
30888;Debora Conceicao De Moura Ferreira Clementino Bezerra;Debora Moura;NOVO;SUPLENTE;521
25190;Jos? Rog?rio Veloso;Rogerio Veloso;PRD;SUPLENTE;517
30122;Janailson Ferreira Da Silva;Janailson Ferreira Da Silva;NOVO;SUPLENTE;517
27777;Luciano Ant?nio Oliveira Da Silva;Luciano Oliveira Recife;DC;N?O ELEITO;515
10140;Adelson Da Silva Pereira;Nen Do Coque;REPUBLICANOS;SUPLENTE;514
30130;Eduardo Miranda Brandao;Dr Eduardo Miranda;NOVO;SUPLENTE;514
30100;Edson Moura Lima;Edson Otica;NOVO;SUPLENTE;510
18222;Rosangela Maria Silva Da Luz;Lala Renovada;REDE;SUPLENTE;505
70678;Arnaldo Monteiro Cavalcanti Filho;Arnaldo Monteiro;AVANTE;SUPLENTE;504
13011;Domingos S?vio Cavalcanti Campos;Domingos S?vio;PT;SUPLENTE;494
27272;Jo?o Carlos Alves De Lima;Jo?o Carlos Baiano;DC;N?O ELEITO;493
10900;Z?lia Fernandes Nery;Irm? Z?lia Nery;REPUBLICANOS;SUPLENTE;482
15040;Ledja Cibelle Albuquerque Dantas;Cibelle Albuquerque;MDB;SUPLENTE;482
70700;Adelmo Ferreira Barbosa;Adelmo Sto Amaro;AVANTE;SUPLENTE;479
70789;Mario Pinheiro Bezerra;Mario Pinheiro;AVANTE;SUPLENTE;479
25121;Silvio Ricardo Cezar Barbosa;Silvio Ricardo;PRD;SUPLENTE;472
55197;Shirley Wanessa Do Nascimento;Shirley Wanessa;PSD;SUPLENTE;470
55220;Ronaldo Francisco Da Silva;Di?cono Ronaldo;PSD;SUPLENTE;470
70707;Patricia Maria Ferreira De Souza;Comiss?ria Patr?cia Ferreira;AVANTE;SUPLENTE;468
22444;Frederico Jos? Da Silva Pereira Filho;Fred Filho;PL;SUPLENTE;467
15900;Alberty Jos? Da Silva;Afonso Que Faz;MDB;SUPLENTE;466
50123;Uilder C?sar De Lima;Uilder Lima;PSOL;SUPLENTE;459
10537;Marcelo Cezar Santos;Marcelo Da Cooperativa;REPUBLICANOS;SUPLENTE;456
13999;Suet?nio Gon?alves De Lima;Suet?nio;PT;SUPLENTE;453
27191;Marlon Marques Vieira De Melo;Marlon Vieira De Melo;DC;N?O ELEITO;453
65854;Edcleide Rufino De Oliveira;Dinha De Saramandaia;PC do B;SUPLENTE;453
50080;Lorena Montenegro Cocentino;Resist?ncia Autista;PSOL;SUPLENTE;449
18010;Adeilda Alves De Barros;Adeilda Barros;REDE;SUPLENTE;448
10210;Henrique De Almeida Conde;Henrique Conde;REPUBLICANOS;SUPLENTE;445
10777;Luciano Jos? Louren?o Sales;Irm?o Luciano Do Valle;REPUBLICANOS;SUPLENTE;442
70007;Severino Queiroga Da Silva;Queiroga;AVANTE;SUPLENTE;441
70222;Daniel Nicodemos Marques;Daniel Ti?;AVANTE;SUPLENTE;441
25055;Frederico De Vasconcelos Brennand;Engenheiro Fred Brennand;PRD;SUPLENTE;436
22692;Tiago Augusto Nascimento Lima;Dr Tiago Lima;PL;SUPLENTE;432
33222;Alzenildo Jose Pereira Da Silva;Nildo Regente;MOBILIZA;N?O ELEITO;430
25477;Eduardo Campelo De Morais;Eduardo Campelo;PRD;SUPLENTE;429
70163;Antonio Paulo Malta Neves;Paulo Neves;AVANTE;SUPLENTE;427
15444;Marcos Ant?nio Saraiva Do Nascimento;Marc?o Do Povo;MDB;SUPLENTE;426
27615;Elcio Silva Cavalcanti;Dr. Elcio Cavalcanti;DC;N?O ELEITO;411
10665;Fernanda Patricia Santos Do Nascimento;Fernanda Patricia;REPUBLICANOS;SUPLENTE;402
43123;Fernando Rog?rio Leite De Melo;Rog?rio Leite;PV;SUPLENTE;401
22322;Rui Cla?dio Fontes De Amorim;Rui Claudio;PL;SUPLENTE;390
33033;Weyler Soares Fonteles;Soares Protetico;MOBILIZA;N?O ELEITO;390
25677;Fernando Jos? Dos Santos;Fernando Santos;PRD;SUPLENTE;382
55025;Valdete De Souza Santana Barros;Irm? Juninha;PSD;SUPLENTE;381
55622;Francisco De Assis Vitor De Souza;Fio;PSD;SUPLENTE;375
43222;Leandro Ten?rio Da Costa Luna Franca;Leandro Ten?rio;PV;SUPLENTE;369
40222;Candida Valeria Santos Bomfim;C?ndida Bomfim;PSB;SUPLENTE;367
10135;Anderson Dos Santos;Pel? Da Bomba;REPUBLICANOS;SUPLENTE;362
65123;Daniela Alexandre Cesario De Mello;Dani Mello;PC do B;SUPLENTE;360
10124;Igor Nascimento Santana;Tio Iggor;REPUBLICANOS;SUPLENTE;358
50050;Victor Monte Da Silva;Preto Monte;PSOL;SUPLENTE;355
15715;Lucilene Melo Da Silva Gomes;Professora Lu Melo;MDB;SUPLENTE;354
22522;Rosana Veloso Filgueira Galv?o;Rosana Galv?o;PL;SUPLENTE;354
18099;Richardson Jos? Tib?rcio Bezerra;Richardson;REDE;SUPLENTE;348
